Question,Answer
hi,"Hello 👋, how can I assist you today?"
hello,"Hi there! 😊 Need any help with campus info?"
hey,"Hey! 👋 What can I do for you?"
good morning,"Good morning 🌞, hope you’re doing well. How can I help?"
good afternoon,"Good afternoon 🌼, what can I assist you with?"
good evening,"Good evening 🌙, need any campus-related help?"

bye,"Goodbye 👋, have a nice day!"
goodbye,"See you soon! 👋 Take care."

thank you,"You're welcome! 😊"
thanks,"No problem 👍 Happy to help!"
thx,"No problem 👍 Happy to help!"

who are you,"I am your Rohini College Campus Assistant ."
college fee,"The annual college fee is ₹50,000."
semester fee,"Each semester fee is ₹25,000."
fee payment,"You can pay fees online through the MyCamu app or offline at the fee counter."
hostel fee,"The hostel fee is ₹60,000 for the ground floor, ₹65,000 for the first floor, ₹70,000 for the second floor, and ₹75,000 for the third floor."
hostel facilities,"The hostel provides Wi-Fi, study rooms, and a mess facility."
hostel capacity,"Each hostel room accommodates 2–3 students."
girls hostel,"Yes, separate hostels are available for both boys and girls."
hostel food,"The hostel mess serves both vegetarian and non-vegetarian meals, ensuring hygienic and nutritious food."

library location,"The library is located in the A.P.J block, 2nd floor."
library timings,"The library is open daily from 8 AM to 8 PM."

departments,"Departments include: CSE, CSE (AI & ML), AI & DS, ECE, EEE, Civil, Biomedical, Agriculture, Mechanical, MBA, MCA, and ME."
about college,"Rohini College of Engineering and Technology was established in 2012 and is AICTE approved."
college established,"Rohini College was established in 2012."
aicte approved,"Yes, our college is approved by AICTE."
mba available,"Yes, we offer MBA and MCA programs."
mtech available,"Yes, we offer M.E postgraduate courses."

placement record,"Our college has a strong placement record with companies like TCS, Infosys, Wipro, Cognizant, and HCL."
placement training,"Yes, we provide placement training, aptitude, and soft skills programs."

bus facility,"Yes, the college provides bus facilities covering major towns in Kanyakumari, Tirunelveli, and Nagercoil."
transport for hostellers,"Yes, transport is provided to major towns even for hostel students on weekends."
college location,"Rohini College of Engineering and Technology is located at Anjugramam, Kanyakumari district, Tamil Nadu."
distance from nagercoil,"The college is about 14 km from Nagercoil."

canteen,"Yes, the campus has a hygienic canteen serving South Indian and North Indian food."
wifi,"Yes, free Wi-Fi is available across the campus."
sports facilities,"The campus has a cricket ground, football ground, basketball and volleyball courts, and indoor games."
gym,"Yes, the college has a modern gymnasium for students."
medical facility,"Yes, we have a first-aid center and tie-ups with nearby hospitals."

pro Chairman,"The pro Chairman of Rohini College is Neela Vishnu."
principal,"The Principal of Rohini College is Dr.Rajesh."

admissions,"Admissions are based on Anna University counseling and direct admission under management quota."
admission criteria,"Admissions are based on 10+2 marks and Anna University counseling."
contact college,"You can contact the college via +91 9487 047 953 or email info@rohiniengg.ac.in."
official website,"Our official website is https://www.rohiniengg.ac.in/"

campus size,"The campus is spread across 30 acres of land."
research center,"Yes, the college has research centers in engineering and technology domains."
cultural fests,"Yes, our college conducts annual cultural fests, symposiums, and technical events."
ncc,"Yes, we have NCC and NSS units for students."
student clubs,"Yes, clubs like coding club, robotics club, literary club, eco club, and entrepreneurship club are active."

vision,"The vision of the college is to be a center of excellence in engineering education and research, nurturing professionals with values."
mission,"The mission of the college is to provide quality education, promote research, and develop socially responsible professionals."
student strength,"The college has more than 2500 students enrolled in various courses."
scholarships,"Yes, scholarships are available based on government schemes and merit."

alumni association,"Yes, Rohini College has an active alumni association."
motto,"The motto of the college is 'Educate, Innovate, Elevate'."
anti ragging,"No, our college has zero tolerance towards ragging and an active anti-ragging committee."
dress code,"Students must follow formal dress code on weekdays. Lab coats are mandatory in laboratories."
cse,"there are two sections in cse department and each section there are 64 students."
fallback,"⚠️ Sorry, I didn’t understand that. Could you rephrase your question?"
